sample_index,sim_time_s,ego_x,ego_y,ego_speed_mps,obstacle_count,nearest_ttc_s,nearest_ttc_obstacle_id,nearest_ttc_reason,nearest_ttc_longitudinal_gap_m,nearest_ttc_lateral_gap_m,nearest_ttc_bumper_gap_m,nearest_ttc_bumper_gap_raw_m,nearest_ttc_closing_speed_mps,nearest_ttc_obstacle_x,nearest_ttc_obstacle_y,nearest_ttc_obstacle_v_mps,max_drac_mps2,min_pet_s,behavior_decision,fsm_state,blocking_obstacle_id,decision_reason,collision_count,last_collision_actor_type,cp_provider_source,native_opencda_available,native_opencda_required,cp_obstacle_count,lateral_offset_m,heading_error_rad,Cost_ref,Cost_LaneCenter,Cost_RoadBoundary,Cost_Repulsive,Cost_Control,road_boundary_sample_valid,road_boundary_lateral_offset_m,road_boundary_lane_width_m,road_boundary_ego_half_width_m,road_boundary_clearance_m,road_boundary_breach,road_boundary_breach_count,road_boundary_sample_count,road_boundary_breach_rate
35,9.675920097,-55.538177490234375,133.369873046875,8.15800758765787e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,872.932423249089,90.4059803316624,0.0,3.5269875398111045e-81,64.76094959609581,True,4.518954654919582e-16,3.499999999862654,1.07,0.5298674427262374,False,0,36,0.0
36,9.725920098,-55.538177490234375,133.369873046875,7.698266657827271e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,872.6204881603105,90.41240587439596,0.0,3.540607170952615e-81,64.6601207517609,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298674427247988,False,0,37,0.0
37,9.775920098,-55.538177490234375,133.369873046875,6.4498506472437e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,287.6064178411688,96.2392473567248,0.0,1.295675771051482e-81,4000.3670228387655,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298674427262927,False,0,38,0.0
38,9.825920099,-55.538177490234375,133.369873046875,4.9764189175367e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,872.1554794398795,96.24384607079462,0.0,4.3624277963374284e-82,5.812404043284961,True,4.518954654919582e-16,3.4999999998626534,1.07,0.5298674427262443,False,0,39,0.0
39,9.8759201,-55.538177490234375,133.369873046875,3.706134350997316e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.9834630542988,96.24761701630271,0.0,1.5297551716419717e-82,6.361611159055736,True,4.518954654919582e-16,3.4999999998626734,1.07,0.5298674427247688,False,0,40,0.0
40,9.925920100999999,-55.538177490234375,133.369873046875,2.6789104618383527e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.842419474428,96.25070919160393,0.0,5.618387742611718e-83,6.352138890149021,True,4.518954654919582e-16,3.499999999862702,1.07,0.529867442726261,False,0,41,0.0
41,9.975920101,-55.538177490234375,133.369873046875,1.921732385604212e-05,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.7267703663138,96.25324477532422,0.0,2.165345550787069e-83,6.3464266724995895,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674427262474,False,0,42,0.0
42,10.025920102,-55.538177490234375,133.369873046875,4.3877488597173935e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.6319425539099,96.25532395395676,0.0,8.77645871493745e-84,6.344663033869383,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674427262474,False,0,43,0.0
43,10.075920103,-55.538177490234375,133.369873046875,8.011661161588509e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.5541867441223,96.2570288804355,0.0,3.755793165448307e-84,6.341064196315936,True,4.518954654919582e-16,3.499999999862702,1.07,0.5298674427262474,False,0,44,0.0
44,10.125920104,-55.538177490234375,133.369873046875,7.982446018858373e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.4904289948636,96.25842692022432,0.0,1.6931855508821036e-84,6.339570262887404,True,4.518954654919582e-16,3.4999999998626734,1.07,0.529867442726275,False,0,45,0.0
45,10.175920104,-55.538177490234375,133.369873046875,6.533463470528611e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.4381489952011,96.25957331278862,0.0,8.084765101778062e-85,6.338896254400893,True,4.518954654919582e-16,3.4999999998626734,1.07,0.529867442726275,False,0,46,0.0
46,10.225920105,-55.538177490234375,133.369873046875,5.054553756230595e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,871.3952803063979,96.26051335469137,0.0,4.0823936840528734e-85,6.338556414709726,True,4.518954654919582e-16,3.4999999998626734,1.07,0.529867442726275,False,0,47,0.0
47,10.275920106,-55.538177490234375,133.369873046875,4.781528321529917e-06,1,,,,,,,,,,,,0.0,,lane_follow,LANE_KEEP,,,0,,,0,0,0,,,286.6851829483168,96.20261952964835,0.0,2.1915636898295122e-85,3991.7770864671857,True,4.518954654919582e-16,3.4999999998626734,1.07,0.529867442726275,False,0,48,0.0
